Timestamp;reading
01:44:30;0,1
01:44:30;0,2
01:44:30;0,3
01:44:31;0,4
01:44:31;0,5
01:44:31;0,6
01:44:31;0,7
01:44:31;0,8
01:44:31;0,9
01:44:31;1
01:44:31;1,1
01:44:31;1,2
01:44:31;1,3
01:44:31;1,4
01:44:31;1,5
01:44:31;1,6
01:44:31;1,7
01:44:31;1,8
01:44:31;1,9
01:44:31;2
01:44:31;2,1
01:44:31;2,2
01:44:31;2,3
01:44:31;2,4
01:44:31;2,5
01:44:31;2,6
01:44:31;2,7
01:44:31;2,8
01:44:31;2,9
01:44:31;3
01:44:31;3,1
01:44:31;3,2
01:44:31;3,3
01:44:31;3,4
01:44:31;3,5
01:44:31;3,6
01:44:31;3,7
01:44:31;3,8
01:44:31;3,9
01:44:31;0
01:44:31;0,1
01:44:31;0,2
01:44:31;0,3
01:44:31;0,4
01:44:31;0,5
01:44:31;0,6
01:44:31;0,7
01:44:31;0,8
01:44:31;0,9
01:44:31;1
01:44:31;1,1
01:44:31;1,2
01:44:31;1,3
01:44:31;1,4
01:44:31;1,5
01:44:31;1,6
01:44:31;1,7
01:44:31;1,8
01:44:31;1,9
01:44:31;2
01:44:31;2,1
01:44:31;2,2
01:44:31;2,3
01:44:31;2,4
01:44:31;2,5
01:44:31;2,6
01:44:31;2,7
01:44:31;2,8
01:44:31;2,9
01:44:31;3
01:44:31;3,1
01:44:31;3,2
01:44:31;3,3
01:44:31;3,4
01:44:31;3,5
01:44:31;3,6
01:44:31;3,7
01:44:31;3,8
01:44:31;3,9
01:44:31;0
01:44:31;0,1
01:44:31;0,2
01:44:31;0,3
01:44:31;0,4
01:44:31;0,5
01:44:31;0,6
01:44:31;0,7
01:44:31;0,8
01:44:31;0,9
01:44:31;1
01:44:31;1,1
01:44:31;1,2
01:44:31;1,3
01:44:31;1,4
01:44:31;1,5
01:44:31;1,6
01:44:31;1,7
01:44:32;1,8
01:44:32;1,9
01:44:32;2
01:44:32;2,1
01:44:32;2,2
01:44:32;2,3
01:44:32;2,4
01:44:32;2,5
01:44:32;2,6
01:44:32;2,7
01:44:32;2,8
01:44:32;2,9
01:44:32;3
01:44:32;3,1
01:44:32;3,2
01:44:32;3,3
01:44:32;3,4
01:44:32;3,5
01:44:32;3,6
01:44:32;3,7
01:44:32;3,8
01:44:32;3,9
01:44:32;0
01:44:32;0,1
01:44:32;0,2
01:44:32;0,3
01:44:32;0,4
01:44:32;0,5
01:44:32;0,6
01:44:32;0,7
01:44:32;0,8
